Sully Prudhomme; Les Vaines Tendresses ;Sully Prudhomme ;Trieste Publishing ;2017-09 ;0649030508;
Sully Prudhomme ;Sully Prudhomme ; ;1930 ; ;
The phantom 'rickshaw, and other stories ;Rudyard Kipling ; ;1912 ; ;
The Irish Guards in the Great War ;Rudyard Kipling ;Spellmount, Limited Publishers ;1997 ; ;
From Sea to Sea: Letters of marque. From sea to sea, I-XXIV ;Rudyard Kipling ; ;1899 ; ;
From sea to sea and other sketches. Letters of travel. 2 v. in 1 ;Rudyard Kipling ; ;1907 ; ;
Kim (Illustrated Edition) ;Rudyard Kipling ;e-artnow ;2017-12-06 ;9788027234929;
WARLOCK'S PLAY: 550+ Supernatural Mysteries, Macabre & Horror Classics ;Mary Shelley, Bram Stoker, Edgar Allan Poe, Henry James, Algernon Blackwood, H. P. Lovecraft, M. R. James, Wilkie Collins, E. F. Benson, Nathaniel Hawthorne, Ambrose Bierce, Arthur Machen, William Hope Hodgson, Arthur Conan Doyle, Grant Allen, Théophile Gautier, Richard Marsh, Joseph Sheridan Le Fanu, Thomas Hardy, Charles Dickens, Rudyard Kipling, Guy de Maupassant, Elizabeth Gaskell, Mark Twain, Daniel Defoe, Jerome K. Jerome, Fitz-James O'Brien, Catherine Crowe, Émile Erckmann, Alexandre Chatrian, Pedro De Alarçon, Walter Hubbell, Amelia B. Edwards, Washington Irving, John Meade Falkner, Harriet Beecher Stowe, Mary E. Wilkins Freeman, Louisa M. Alcott, Edith Nesbit, Mary Louisa Molesworth, Francis Marion Crawford, John Kendrick Bangs, Gertrude Atherton, J. K. Huysmans, John Buchan, Sabine Baring-Gould, Cleveland Moffett, Louis Tracy, Nikolai Gogol, James Malcolm Rymer, Thomas Peckett Prest, Frederick Marryat, Oscar Wilde, Robert Louis Stevenson, H. G. Wells, Charlotte Perkins Gilman, W. W. Jacobs, H. H. Munro (Saki), Wilhelm Hauff, Mary Elizabeth Braddon, Robert W. Chambers, Edward Bulwer-Lytton, Thomas De Quincey, William Makepeace Thackeray, E. T. A. Hoffmann, Robert E. Howard, David Lindsay, Marie Belloc Lowndes, Edward Bellamy, Jack London, Pliny the Younger, Helena Blavatsky, Fergus Hume, Florence Marryat, Villiers de l'Isle Adam, William Archer, William F. Harvey, Katherine Rickford, Ralph Adams Cram, Leopold Kompert, Brander Matthews, Vincent O'Sullivan, Ellis Parker Butler, A. T. Quiller-Couch, Fiona Macleod, Lafcadio Hearn, William T. Stead, Gambier Bolton, Andrew Jackson Davis, Nizida, Walter F. Prince, Chester Bailey Fernando, Leonard Kip, Frank R. Stockton, Bithia Mary Croker, Catherine L. Pirkis, Leonid Andreyev, Anatole France, Olivia Howard Dunbar, Richard Le Gallienne, Sax Rohmer, Horace Walpole, William Thomas Beckford, Matthew Gregory Lewis, Ann Radcliffe, Jane Austen, John William Polidori, Charlotte Brontë, Emily Brontë, Marjorie Bowen, George W. M. Reynolds, M. P. Shiel, Adelbert von Chamisso, S. Mukerji ;e-artnow ;2018-12-21 ;9788027247134;
Works: Under the deodars. The phantom 'richshaw. Wee Willie Winkie ;Rudyard Kipling ; ;1899 ; ;
The Jungle Play ;Rudyard Kipling ; ;2000 ; ;
The Long Trail ;Rudyard Kipling ; ;2004 ; ;
Recessional and Departmental Ditties ;Rudyard Kipling ; ;1899 ; ;
Poems, 1886-1929 ;Rudyard Kipling ; ;1929 ; ;
The Seven Seas ;Rudyard Kipling ; ;1918 ; ;
Barrack room ballads and other verses ;Rudyard Kipling ; ;1919 ; ;
Moon of Other Days ;Rudyard Kipling, Mary Margaret Kaye ;Salem House Publishers ;1989 ; ;
Something of Myself ;Rudyard Kipling ; ;2008 ;184022567X;
The English in England ;Rudyard Kipling ; ;1963 ; ;
Selected Poems ;Rudyard Kipling ;Collector's Library ;2004 ;1904919243;
Nobel Prize Library ;Yasunari Kawabata, Rudyard Kipling, Sinclair Lewis ; ;1971 ; ;
The Jungle Books ;Rudyard Kipling ;Berkley Publishing Group ;1991 ;0425127621;
Mine own people ; American notes ; Under the deodars and other tales ; Departmental ditties, Barrack-room ballads, and other verses ;Rudyard Kipling ; ;1900 ; ;
Independence, Recorial Address at St. Andrews ;Rudyard Kipling ; ;1923 ; ;
Short Stories ;Rudyard Kipling ;Penguin Books ;1971 ;0140032819;
Wee Willie Winkie ; Under the Deodars ; the Phantom 'rickshaw, and Other Stories ;Rudyard Kipling ; ;1915 ; ;
Mine own people ;Rudyard Kipling ; ;1909 ; ;
Abaft the Funnel ;Rudyard Kipling ;New York : Doubleday, Page ;1909 ; ;
Verse ;Rudyard Kipling ; ;1927 ; ;
Works: Mine own people ;Rudyard Kipling ; ;189? ; ;
Actions and Reactions ;Rudyard Kipling ;Macmillan Company of Canada ;1909 ; ;
Mowgli Stories from "The Jungle Book" ;Rudyard Kipling ; ;1994 ;0486280306;
Traffics and discoveries. Actions and reactions ;Rudyard Kipling ; ;1909 ; ;
The Dead King ;Rudyard Kipling ;London : Hodder & Stoughton ;1910 ; ;
Many Inventions ;Rudyard Kipling ; ;1916 ; ;
Works. [Seven Seas Ed.] ;Rudyard Kipling ; ;1914 ; ;
The Fringes of the Fleet ;Rudyard Kipling ; ;1915 ; ;
From sea to sea, and other sketches ;Rudyard Kipling ; ;1970 ; ;
The days̓ work ;Rudyard Kipling ; ;1914 ; ;
Life's Handicap ;Rudyard Kipling ; ;1919 ; ;
Letters of marque. From sea to sea ;Rudyard Kipling ; ;1914 ; ;
Tales of "The Trade" ;Rudyard Kipling ; ;1916 ; ;
The Writings in Prose and Verse ;Rudyard Kipling ; ;1933 ; ;
From sea to sea: letters of Marque ;Rudyard Kipling ; ;1915 ; ;
France at War ;Rudyard Kipling ;London : MacMillan ;1915 ; ;
Departmental Ditties, and the Vampire, Etc ;Rudyard Kipling ; ;1999 ; ;
Rudolf Eucken's Philosophy of Life ... Third Edition ;William Ralph Boyce GIBSON, Rudolf Christoph EUCKEN ; ;1912 ; ;
Rudolf Eucken's Philosophy of Life ... Second Edition ;William Ralph Boyce GIBSON, Rudolf Christoph EUCKEN ; ;1907 ; ;
Rudolf Eucken. His Life Work and Travels. By Himself. Translated by Joseph McCabe. [With a Portrait.]. ;Rudolf Christoph EUCKEN, Joseph McCabe ; ;1921 ; ;
Knowledge and Life ;Rudolf Christoph Eucken, W. Jones ; ;2013-04-22 ;148419098X;
Rudolf Eucken und seine Philosophie. Eine Rede, etc ;Erich BECHER, Rudolf Christoph EUCKEN ; ;1927 ; ;
Is the Universe Self-centred Or God-centred? An Examination of the Systems Eucken and Bergson. Presidential Address, Etc ;Frank SEWALL, Rudolf Christoph EUCKEN ; ;1913 ; ;
The Struggle for a Spiritual Content of Life. [A Review of R. Eucken's "Der Kampf Um Einen Geistigen Lebensinhalt."] (Reprinted from The Psychological Review, Vol. 6, No. 1, January, 1899.). ;Francis KENNEDY, Rudolf Christoph EUCKEN ; ;1899 ; ;
Gesammelte Werke Rudolf Christoph Euckens ;Rudolf Christoph Eucken ; ;2014 ;3733906160;
Eucken and Bergson: Their Significance for Christian Thought ;afterwards HERMAN HERMANN (Emma), Rudolf Christoph EUCKEN ; ;1912 ; ;
Die Religionsphilosophie in Deutschland in Ihren Gegenwärtigen Hauptvertreten. Rudolf Eucken Als Festgabe Zu Seinem 60. Geburtstage Überreicht ;Otto SIEBERT, Rudolf Christoph EUCKEN ; ;1906 ; ;
The Life of the Spirit: an Introduction to Philosophy ... Translated by F. L. Pogson ;Rudolf Christoph EUCKEN, Frank Lubecki POGSON ; ;1909 ; ;
Hauptprobleme der Religionsphilosophie der Gegenwart. Christianity and the New Idealism: a study in the religious philosophy of to-day ... Translated by Lucy Judge Gibson ... and W.R. Boyce Gibson ;Rudolf Christoph EUCKEN, Lucy Judge GIBSON, William Ralph Boyce GIBSON ; ;1909 ; ;
Life's Basis and Life's Ideal. The Fundamentals of a New Philosophy of Life ... Translated [from "Die Grundlinien Einer Neuen Lebensanschauung"] with Introductory Note by Alban G. Widgery ;Rudolf Christoph EUCKEN, Alban Gregory WIDGERY ; ;1911 ; ;
Life's Basis and Life's Ideal. The funamentals of a new philosophy of life ... Translated, with introductory note [from "Die Grundlinien einer neuen Lebensanschauung"] by Alban G. Widgery. (Second and revised edition.). ;Rudolf Christoph EUCKEN ; ;1912 ; ;
Gesammelte Werke ;Rudolf Christoph Eucken ; ;2005-07 ;3487128934;
The Problem of Human Life as Viewed by the Great Thinkers from Plato to the Present Time ... Translated from the German by Williston S. Hough ... and W.R. Boyce Gibson ;Rudolf Christoph EUCKEN, William Ralph Boyce GIBSON, Williston Samuel HOUGH ; ;1910 ; ;
The Fundamental Concepts of Modern Philosophic Thought, Critically and Historically Considered; ;Rudolf Christoph Eucken ;Hardpress Publishing ;2012-01 ;1290092362;
The Truth of Religion ... Translated by W. Tudor Jones ... Second English Edition, Etc ;Rudolf Christoph EUCKEN ; ;1913 ; ;
Main Currents of Modern Thought. A Study of the Spiritual and Intellectual Movements of the Present Day ... Translated by Meyrick Booth ;Rudolf Christoph EUCKEN, Meyrick BOOTH ; ;1912 ; ;
Die Geistesreligion und Das Jüdische Religionsgesetz. Ein Beitrag Zur Erneuerung Des Judentums ... Mit Einem Geleitwort Von Rudolf Eucken ;Ignaz ZIEGLER (Rabbiner in Karlsbad.), Rudolf Christoph EUCKEN ; ;1912 ; ;
Collected Essays ... Edited and Translated by Meyrick Booth, Etc ;Rudolf Christoph EUCKEN, Meyrick BOOTH ; ;1914 ; ;
The Transient and the Permanent in Christianity. Translated by W. Tudor Jones ;Rudolf Christoph EUCKEN, William Tudor JONES ; ;1914 ; ;
The Individual and Society ... Translated by W.R.V. Brade, Etc ;Rudolf Christoph EUCKEN, William Robert Victor BRADE ; ;1923 ; ;
Socialism: an Analysis ... Translated by Joseph McCabe ;Rudolf Christoph EUCKEN, Joseph McCabe ; ;1921 ; ;
Knowledge and Life ... Translated by W. Tudor Jones ;Rudolf Christoph EUCKEN, William Tudor JONES ; ;1913 ; ;
Can We Still be Christians? ... Translated by Lucy Judge Gibson ;Rudolf Christoph EUCKEN, Lucy Judge GIBSON ; ;1914 ; ;
The Meaning and Value of Life ... Translated by Lucy Judge Gibson ... and W.R. Boyce Gibson ;Rudolf Christoph EUCKEN, Lucy Judge GIBSON, William Ralph Boyce GIBSON ; ;1909 ; ;
Neutrale Stimmen ... Eingeleitet von R. Eucken ;Rudolf Christoph EUCKEN ; ;1916 ; ;
Gesammelte Aufsätze ... Mit Einem Vorwort Von R. Eucken ;Carl STEFFENSEN, Rudolf Christoph EUCKEN ; ;1890 ; ;
Das Lebensproblem in China und in Europa. Von R. Eucken und Carsun Chang ;Rudolf Christoph EUCKEN ; ;1922 ; ;
Rudolf Euckens Welt- und Lebensanschauung ;Otto SIEBERT, Rudolf Christoph EUCKEN ; ;1904 ; ;
Obras escogidas ... ;Rudolf Christoph Eucken ; ;1957 ; ;
Die Methode der Aristotelischen Forschung in ihrem Zusammenhang mit den philosophischen Grundprincipien des Aristoteles dargestellt ;Rudolf Christoph Eucken ; ;1872 ; ;
Rudolf Euckens Theologie Mit Ihren Philosophischen Grundlagen Dargestellt ;Hans POEHLMANN, Rudolf Christoph EUCKEN ; ;1903 ; ;
Zur Erinnerung an K. Ch. F. Krause, Festrede ;Rudolf Christoph Eucken ;Wentworth Press ;2018-07-26 ;0270462619;
Die Träger Des Deutschen Idealismus ;Rudolf Christoph EUCKEN ; ;1915 ; ;
Wissenschaft und Religion ;Rudolf Christoph Eucken ; ; ; ;
Prolegomena und Epilog zu einer Philosophie des Geisteslebens ;Rudolf Christoph Eucken ; ;1925 ; ;
Erkennen und Leben ;Rudolf Christoph EUCKEN ; ;1912 ; ;
Können Wir Noch Christen Sein?. ;Rudolf Christoph EUCKEN ; ;1911 ; ;
Gestige strömungen der Gegenwart ;Rudolf Christoph Eucken ; ;1916 ; ;
Der Wahrheitsgehalt der Riligion ;Rudolf Christoph Eucken ; ;1927 ; ;
Der Kampt Um Einen Geistigen Lebensinhalt. Neue Grundlegung Einer Weltanschauung. Vierte Umgearbeitete Auflage ;Rudolf Christoph EUCKEN ; ;1921 ; ;
Die Lebensanschauungen der grossen Denker ... Achte durchgesehene Auflage ;Rudolf Christoph EUCKEN ; ;1909 ; ;
Einführung in die Hauptfragen der Philosophie ;Rudolf Christoph Eucken ; ;1921 ; ;
Hauptprobleme Der Religionsphilosophie Der Gegenwart ... Vierte und Fünfte Verbesserte und Erweiterte Auflage ;Rudolf Christoph EUCKEN ; ;1912 ; ;
Hautproblem der Religionsphilosophie der Gegenwart ;Rudolf Christoph Eucken ; ;1907 ; ;
Der Kampf um einen geistigen Lebensinhalt ... Zweite neugestaltete Auflage ;Rudolf Christoph EUCKEN ; ;1907 ; ;
Erläuterungen zur Metaphysik des Unbewussten ;Carl Robert Eduard von Hartmann, August Stadler, Carl Ludwig Michelet, Carl Prantl, Hermann Ludwig F. von Helmholtz, Johann Eduard Erdmann, Rudolf Christoph Eucken ; ;1860 ; ;
Mensch und Welt ... 2. ... Auflage,. ;Rudolf Christoph EUCKEN ; ;1920 ; ;
Die Philosophie Des Thomas Von Aquino und Die Kultur Der Neuzeit. Zweite Auflage ;Rudolf Christoph EUCKEN ; ;1910 ; ;
Geistige Strömungen Der Gegenwart ... Der Grundbegriffe Der Gegenwart Vierte Umgearbeitete Auflage ;Rudolf Christoph EUCKEN ; ;1909 ; ;
Die Philosophischen Welt Anschaunngen und Ihre Hauptvertreter ;Alfred HEUSSNER, Rudolf Christoph EUCKEN, Wilhelm WUNDT ; ;1919 ; ;
Az élet értelme és értéke ;Rudolf Christoph Eucken ; ;1924 ; ;
I problemi fondamentali della filosofia della religione ;Rudolf Christoph Eucken ; ;1907 ; ;
Il significato e il valore della vita ;Rudolf Christoph Eucken, Giacomo Perticone, M. De Vincolis ; ;1925 ; ;
Die Methode der Aristotelischen Forschung in ihrem Zusammenhang mit den philosophischen Grundprincipien des Aristoteles dargestellt ;Rudolf Christoph Eucken ; ;1872 ; ;
Essential Novelists - Selma Lagerlöf ;Selma Lagerlöf, August Nemo ;Tacet Books ;2020-05-07 ;9783968584089;
7 best short stories by Selma Lagerlöf ;Selma Lagerlöf, August Nemo ;Tacet Books ;2020-05-15 ;9783967992571;
The Girl From the Marsh Croft ;Selma Lagerlöf ;Library of Alexandria ;2020-09-28 ;9781465607522;
The Collected Works of Selma Lagerlöf ;Selma Lagerlöf ;DigiCat ;2022-11-13 ; ;
The Diary of Selma Lagerlöf ;Selma Lagerlöf ;Kraus Reprint. Company ;1975 ; ;
Jerusalem ;Selma Lagerlöf ;Createspace Independent Publishing Platform ;2016-03-11 ;1530477697;
The Wonderful Adventures of Nils ;Selma Lagerlöf ;Litres ;2021-03-16 ;9785040840632;
The Treasure ;Selma Lagerlöf ;Good Press ;2021-05-19 ; ;
Memories of My Childhood ;Selma Lagerlöf ;Kraus Reprint. Company ;1934 ; ;
Invisible Links ;Selma Lagerlöf ;Litres ;2021-12-02 ;9785040824731;
The Emperor of Portugallia ;Selma Lagerlöf ;Lindhardt og Ringhof ;2020-10-21 ;9789176393956;
The Greatest Works of Selma Lagerlöf ;Selma Lagerlöf ;e-artnow ;2020-09-18 ; ;
The Diary of Selma Lagerlöf ;Selma Lagerlöf ; ;1965 ; ;
Fact and fiction in the autobiographical works of Selma Lagerlöf ([Uebers.:] E.H. de Wijs-Maher.) ;Folkerdina Stientje de Vrieze, Selma Lagerlöf, E. H. de Wijs-Maher ; ;1958 ; ;
The Holy Night ;Selma Lagerlöf ; ;2004 ;0863154670;
The Holy City, Jerusalem II ;Selma Lagerlöf, Velma Swanston Howard ; ;2017-11-09 ;0649747062;
The Holy Night & Other Christmas Stories by Selma Lagerlöf ;Selma Lagerlöf ;e-artnow ;2019-12-09 ; ;
A Manor House Tale ;Selma Lagerlöf ; ;2015 ;1909408255;
Jerusalem ;Selma Lagerlöf ; ;1925 ; ;
The Most Beloved Works and Christmas Books of Selma Lagerlöf ;Selma Lagerlöf ;e-artnow ;2021-05-07 ; ;
The Wonderful Adventures of Nils ;Selma Lagerlöf ; ;1917 ; ;
Selma Lagerlof ;Selma Lagerlöf ; ;1953 ; ;
Jerusalem ;Selma Lagerlöf ; ;1915 ; ;
The Wonderful Adventure of Nils Holgersson ;Selma Lagerlöf ;Penguin UK ;2016-06-02 ;9780241206102;
The Story of Gösta Berling ;Selma Lagerlöf ; ;1911 ; ;
The Story Of Gösta Berling ;Selma Lagerlöf ; ;2020-03-09 ;9390015952;
From a Swedish Homestead ;Selma Lagerlöf ;Createspace Independent Publishing Platform ;2017-02-17 ;1543163785;
Nils Holgersson's Wonderful Journey Through Sweden ;Selma Lagerlöf ; ;2013-12-31 ;1909408182;
The Emperor's Vision and Other Christ Legends ;Selma Lagerlöf ; ;2002 ;086315381X;
Further Adventures of Nils ;Selma Lagerlöf ; ;1911 ; ;
The Löwensköld Ring ;Selma Lagerlöf ; ;1991 ; ;
The Löwensköld Ring ;Selma Lagerlöf ; ;1991 ; ;
The Story of Gösta Berling Novel by Selma Lagerlöf (First Edition) ;Selma Lagerlöf ; ;2021-12-22 ;9798787610871;
The Diary of Selma Lagerlöf ... Translated by Velma Swanston Howard. Illustrated by Johan Bull. [With a Portrait.]. ;Selma Lagerlöf, Velma Swanston Howard ; ;1936 ; ;
The Changeling ;Selma Lagerlöf ;Knopf Books for Young Readers ;1992 ;0679910352;
The Wonderful Adventures of Nils ;Selma Lagerlöf ;Thomas Allen Publishers ;1991 ;0961539437;
The Miracles of Antichrist ;Selma Lagerlöf ;Createspace Independent Publishing Platform ;2017-05-05 ;1546502386;
Memoirs of a Child ;Selma Lagerlöf ;Norvik Press ;2022-11-24 ;1909408719;
The Story of Gösta Berling ;Selma Lagerlöf ; ;1934 ; ;
Big Book of Best Short Stories - Specials - Children's literature 2 ;Selma Lagerlöf, Hans Christian Andersen, Eleanor H. Porter, Wilhelm Hauff, George MacDonald, August Nemo ;Tacet Books ;2020-04-04 ;9783968589046;
Big Book of Best Short Stories: Volume 9 ;Ernest Bramah, E. W. Hornung, John Galsworthy, Stacy Aumonier, Arthur Morrison, Edith Nesbit, Thomas Burke, Selma Lagerlöf, Paul Heyse, Théophile Gautier ;Tacet Books ;2019-03-26 ;9788577771943;
Mårbacka ;Selma Lagerlöf ; ;1924 ; ;
Selma Lagerlöf's En Herrgårdssägen ;Selma Lagerlöf, Axel Louis Elmquist ; ;1928 ; ;
Further Adventures of Nils, from the Swedish of Selma Lagerlof ;Selma Lagerlöf ; ;1911 ; ;
The Queens of Kungahälla, by Selma Lagerlöf. Translated by C. Field ;Selma Lagerlöf ; ;1930 ; ;
Jerusalem (Historical Novel) ;Selma Lagerlöf ;e-artnow ;2021-05-07 ; ;
The Miracles of Antichrist ;Selma Lagerlöf ;DigiCat ;2022-06-02 ; ;
Girl from the Marsh Croft and Other Stories ;Selma Lagerlöf ; ;1996 ;1572160144;
The Further Adventures of Nils ;Selma Lagerlöf ; ;1990-09 ;014034649X;
Niels Holgersson's Wonderbare Reis ;Selma Lagerlöf ;Createspace Independent Publishing Platform ;2017-06-30 ;1548453188;
The Greatest Christmas Stories & Poems in One Volume (Illustrated) ;Louisa May Alcott, O. Henry, Mark Twain, Beatrix Potter, Charles Dickens, Emily Dickinson, Walter Scott, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Anthony Trollope, Brothers Grimm, L. Frank Baum, George MacDonald, Leo Tolstoy, Henry van Dyke, E. T. A. Hoffmann, Harriet Beecher Stowe, Clement Moore, Edward Berens, William Dean Howells, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats ;e-artnow ;2015-12-02 ;9788026848462;
Big Book of Christmas Tales ;Louisa May Alcott, Mark Twain, O. Henry, Hans Christian Andersen, Harriet Beecher Stowe, Selma Lagerlöf, Elizabeth Harrison, Beatrix Potter, Susan Coolidge, Anthony Trollope, George MacDonald, Brothers Grimm, L. Frank Baum, Fyodor Dostoevsky, Leo Tolstoy, E. T. A. Hoffmann, Charles Dickens, Lucy Maud Montgomery, Thomas Hardy, Kate Douglas Wiggin, Booker T. Washington, Anton Chekhov, Armando Palacio Valdés, Alphonse Daudet, Benito Pérez Galdós, Marcel Prévost, Edgar Wallace, Bjørnstjerne Bjørnson, Guy de Maupassant, Saki, Elizabeth Gaskell, Frances Hodgson Burnett, Arthur Conan Doyle ;e-artnow ;2019-11-27 ; ;
The Greatest Christmas Tales & Poems ;Selma Lagerlöf, Charles Dickens, Mark Twain, Harriet Beecher Stowe, Henry Wadsworth Longfellow, George MacDonald, William Wordsworth, Louisa May Alcott, Walter Scott, Anthony Trollope, William Dean Howells, Beatrix Potter, Emily Dickinson, O. Henry, Edward Berens, L. Frank Baum, E. T. A. Hoffmann, Hans Christian Andersen, William Butler Yeats, Henry van Dyke, Leo Tolstoy, Fyodor Dostoevsky, Alfred Lord Tennyson, Brothers Grimm, Clement Moore ;DigiCat ;2022-05-17 ; ;
The Collected Works ;Selma Lagerlöf ;e-artnow ;2021-05-07 ; ;
Thy Soul Shall Bear Witness ;Selma Lagerlöf ;e-artnow ;2020-09-18 ; ;
The Greatest Christmas Novels, Tales & Poems (Illustrated) ;Charles Dickens, Anthony Trollope, Mark Twain, Beatrix Potter, Louisa May Alcott, O. Henry, Leo Tolstoy, L. Frank Baum, Lucy Maud Montgomery, Harriet Beecher Stowe, Emily Dickinson, Robert Louis Stevenson, Rudyard Kipling, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Walter Scott, J. M. Barrie, Brothers Grimm, George MacDonald, Henry van Dyke, E. T. A. Hoffmann, Clement Moore, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats ;e-artnow ;2016-12-09 ;9788026872351;
CHRISTMAS GOLD: The Greatest Holiday Novels, Tales & Poems (Illustrated Edition) ;Charles Dickens, Anthony Trollope, Mark Twain, Beatrix Potter, Louisa May Alcott, O. Henry, Leo Tolstoy, L. Frank Baum, Lucy Maud Montgomery, Harriet Beecher Stowe, Emily Dickinson, Robert Louis Stevenson, Rudyard Kipling, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Walter Scott, J. M. Barrie, Brothers Grimm, George MacDonald, Henry van Dyke, E. T. A. Hoffmann, Clement Moore, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats ;e-artnow ;2017-10-16 ;9788027222162;
The Big Book of Christmas Novels, Stories, Myths & Carols ;Mark Twain, Beatrix Potter, Louisa May Alcott, Charles Dickens, O. Henry, William Shakespeare, Harriet Beecher Stowe, Emily Dickinson, Robert Louis Stevenson, Rudyard Kipling, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Martin Luther, Walter Scott, J. M. Barrie, Anthony Trollope, Brothers Grimm, L. Frank Baum, Lucy Maud Montgomery, George Macdonald, Leo Tolstoy, Henry Van Dyke, E. T. A. Hoffmann, Clement Moore, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats, Eleanor H. Porter, Jacob A. Riis, Susan Anne Livingston, Ridley Sedgwick, Sophie May, Lucas Malet, Juliana Horatia Ewing, Alice Hale Burnett, Ernest Ingersoll, Annie F. Johnston, Amanda M. Douglas, Amy Ella Blanchard, Carolyn Wells, Walter Crane, Thomas Nelson Page, Florence L. Barclay, A. S. Boyd, Edward A. Rand, Max Brand, William John Locke, Nora A. Smith, Phebe A. Curtiss, Nellie C. King, Booker T. Washington, Lucy Wheelock, Aunt Hede, Frederick E. Dewhurst, Maud Lindsay, Marjorie L. C. Pickthall, Jay T. Stocking, Anna Robinson, Florence M. Kingsley, Olive Thorne Miller, M. A. L. Lane, Elizabeth Harkison, Raymond Mcalden, F. E. Mann, Winifred M. Kirkland, François Coppée, Katherine Pyle, Grace Margaret Gallaher, Elia W. Peattie, F. Arnstein, James Weber Linn, Anne Hollingsworth Wharton, Elbridge S. Brooks, Isabel Cecilia Williams, Anton Chekhov, Armando Palacio Valdés, André Theuriet, Alphonse Daudet, Benito Pérez Galdós, Antonio Maré, Pedro A. De Alarcón, Jules Simon, Marcel Prévost, Gustavo Adolfo Bécquer, Maxime Du Camp, Mary Hartwell Catherwood, F. L. Stealey, Kate Upson Clark, Marion Clifford, E. E. Hale, Willis Boyd Allen, Edgar Wallace, Georg Schuster, Harrison S. Morris, Bjørnstjerne Bjørnson, Matilda Betham Edwards, Angelo J. Lewis, Vernon Lee, Guy De Maupassant, Saki, Bret Harte, Robert E. Howard, William Francis Dawson, Hamilton Wright Mabie, Christopher North, Susan Coolidge, Oliver Bell Bunce, Phillips Brooks, William Drummond, James Russell Lowell, Alfred Domett, Reginald Heber, Dinah Maria Mulock, Margaret Deland, John Addington Symonds, Edward Thring, Cecil Frances Alexander, Mary Austin, James S. Park, Isaac Watts, Robert Herrick, Edmund Hamilton Sears, Ben Jonson, Edmund Bolton, Robert Southwell, C.s. Stone, James Whitcomb Riley, Frances Ridley Havergal, William Morris, Charles Mackay, Harriet F. Blodgett, Eliza Cook, George Wither, John G. Whittier, Richard Watson Gilder, Tudor Jenks, William Makepeace Thackeray, Henry Vaughan, Christian Burke, Andrew Lang, Emily Huntington Miller, Cyril Winterbotham, Enoch Arnold Bennett, Mary Louisa Molesworth, Meredith Nicholson, A. M. Williamson, C. N. Williamson, Elizabeth Cleghorn Gaskell, James Selwin Tait, Booth Tarkington, Evaleen Stein, Frances Hodgson Burnett, Frank Samuel Child, Samuel McChord Crothers, Sarah Orne Jewett, Georgianna M. Bishop, Sarah P. Doughty, John Punnett Peters, Mary E. Wilkins Freeman, Mary Elizabeth Braddon, Margaret Sidney, Nell Speed, Laura Elizabeth Richards, Arthur Conan Doyle, Willa Cather, Ralph Henry Barbour, Cyrus Townsend Brady, Mary Stewart Cutting, William Douglas O'Connor, Nathaniel Hawthorne, Ruth McEnery Stuart, S. Weir Mitchell, John Leighton, W. H. H. Murray, Alice Duer Miller, Ellis Parker Butler, Washington Irving ;e-artnow ;2020-12-17 ; ;
